GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD55,Estimate; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD55,Margin of Error; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD56,Estimate; Female: - Public transportation (excluding taxicab): - Subway or elevated
HD02_VD56,Margin of Error; Female: - Public transportation (excluding taxicab): - Subway or elevated
HD01_VD57,Estimate; Female: - Public transportation (excluding taxicab): - Railroad
HD02_VD57,Margin of Error; Female: - Public transportation (excluding taxicab): - Railroad
HD01_VD58,Estimate; Female: - Public transportation (excluding taxicab): - Ferryboat
HD02_VD58,Margin of Error; Female: - Public transportation (excluding taxicab): - Ferryboat
HD01_VD59,Estimate; Female: - Taxicab
HD02_VD59,Margin of Error; Female: - Taxicab
HD01_VD60,Estimate; Female: - Motorcycle
HD02_VD60,Margin of Error; Female: - Motorcycle
HD01_VD61,Estimate; Female: - Bicycle
HD02_VD61,Margin of Error; Female: - Bicycle
HD01_VD62,Estimate; Female: - Walked
HD02_VD62,Margin of Error; Female: - Walked
HD01_VD63,Estimate; Female: - Other means
HD02_VD63,Margin of Error; Female: - Other means
HD01_VD64,Estimate; Female: - Worked at home
HD02_VD64,Margin of Error; Female: - Worked at home
